Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
Roseola,Irritability,Swollen lymph nodes,Headache,Vomiting,Loss of appetite,Chills,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Vomiting,Bloody stools,Headache,Fatigue,Dehydration,Loss of appetite,Rashes,General discomfort,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Bloody stools,Loss of appetite,Muscle aches,Body aches,Rashes,General discomfort,Joint pain,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Abdominal pain,Loss of appetite,Chills,Sweating,Body aches,Rashes,Fever,Irritability,,
Roseola,Runny nose,Irritability,Fatigue,Cough,Diarrhea,Vomiting,Body aches,Chills,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Bloody stools,Dehydration,Muscle aches,Chills,Joint pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Muscle aches,Rashes,General discomfort,Chills,,,,
Shigellosis (Bacillary Dysentery),Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Loss of appetite,Body aches,Rashes,Joint pain,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Loss of appetite,Muscle aches,Body aches,Feverish,Joint pain,,,,,,,
"Hand, Foot, and Mouth Disease",Loss of appetite,Sore throat,Mouth sores,Red spots,Blisters,Cough,Sore muscles,Headache,,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Sore throat,Headache,Cough,Vomiting,Body aches,Chills,,,,,,
Roseola,Rash,Irritability,Fatigue,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Rashes,,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Fatigue,Loss of appetite,Chills,Sweating,Body aches,,,,,,,,,
Norovirus Infection,Low-grade fever,Nausea,Headache,Loss of appetite,Dehydration,Chills,Sweating,Rashes,Fever,Irritability,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Loss of appetite,Sore throat,Red spots,Sore muscles,Headache,General discomfort,,,,,,,,
Scarlet Fever,Fever,Red lines in body folds,Strawberry tongue,Fever (100.4�F / 38.0�C or higher),"Tender, enlarged neck glands",Abdominal pain,Headache and body aches,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Fatigue,Abdominal pain,Chills,Sweating,Body aches,Rashes,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Fatigue,Sweating,Body aches,General discomfort,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Headache,Abdominal pain,Sweating,Irritability,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Chills,General discomfort,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Bloody stools,Headache,Loss of appetite,Body aches,Rashes,General discomfort,Chills,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Stomach cramps,Dehydration,,,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Nausea,Abdominal pain,Loss of appetite,Dehydration,Sweating,,,,,,,,,
Norovirus Infection,Stomach cramps,Headache,Fatigue,Loss of appetite,Dehydration,Sweating,Fever,Irritability,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Rashes,General discomfort,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Vomiting,Stomach cramps,Dehydration,Muscle aches,Body aches,General discomfort,,,,,,,,,
Roseola,Runny nose,Sore throat,Headache,Cough,Vomiting,Rashes,Chills,Feverish,,,,,,,,
Roseola,High fever,Rash,Fatigue,Swollen lymph nodes,Headache,Diarrhea,Vomiting,Body aches,Rashes,Chills,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Red spots,Headache,Difficulty swallowing,,,,,,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Rashes,General discomfort,Fever,Irritability,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Abdominal pain,Chills,Body aches,General discomfort,Irritability,,,,,,,,,
Roseola,Runny nose,Irritability,Sore throat,Headache,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Bloody stools,General discomfort,Chills,Joint pain,,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Red eyes,Abdominal pain,Body aches,Rashes,,,,,,,,
Roseola,Sore throat,Headache,Red eyes,Diarrhea,Rashes,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Dehydration,Body aches,Rashes,General discomfort,Chills,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Headache,Abdominal pain,Loss of appetite,Sweating,Rashes,General discomfort,Fever,Irritability,,,,,
Roseola,High fever,Runny nose,Swollen lymph nodes,Sore throat,Cough,Red eyes,Diarrhea,Loss of appetite,Body aches,Chills,,,,,,
Roseola,Fatigue,Cough,Red eyes,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Fatigue,Muscle aches,Body aches,Feverish,General discomfort,Chills,,,,,,,,,
Common Cold,Watering eyes,Sore throat,Headache,Mild fatigue,Chills,Watery discharge from nose that thickens and turns yellow or green,,,,,,,,,,
Roseola,High fever,Runny nose,Fatigue,Swollen lymph nodes,,,,,,,,,,,,
Roseola,Runny nose,Rash,Fatigue,Headache,Cough,Red eyes,Vomiting,Body aches,Rashes,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Vomiting,Bloody stools,Fatigue,Dehydration,Loss of appetite,Feverish,Chills,Joint pain,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Nausea,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Rashes,Irritability,,,,,,
Roseola,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Cough,Diarrhea,Vomiting,Abdominal pain,Body aches,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Nausea,Abdominal pain,Dehydration,Chills,Sweating,Irritability,,,,,,,
Roseola,Rash,Irritability,Fatigue,Sore throat,Headache,Cough,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Rashes,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Headache,Fatigue,Abdominal pain,Dehydration,Sweating,Rashes,General discomfort,Fever,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Headache,Cough,Diarrhea,Abdominal pain,Body aches,Rashes,Feverish,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Headache,Abdominal pain,Loss of appetite,Dehydration,Chills,General discomfort,Fever,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Fatigue,Loss of appetite,Muscle aches,Feverish,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Headache,Body aches,Irritability,,,,,,,,,,
Roseola,Rash,Swollen lymph nodes,Headache,Diarrhea,Loss of appetite,Chills,Feverish,,,,,,,,,
Mumps,"Swollen, painful salivary glands",Muscle aches,Tiredness,Trouble chewing,Testicle pain and tenderness,Tiredness,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Muscle aches,Nausea,Fatigue,Loss of appetite,Dehydration,Chills,General discomfort,,,,,,
Norovirus Infection,Diarrhea,Muscle aches,Nausea,Headache,Abdominal pain,Dehydration,Chills,Sweating,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Stomach cramps,Headache,Muscle aches,Body aches,Rashes,Chills,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Nausea,Abdominal pain,Loss of appetite,Dehydration,Chills,Rashes,General discomfort,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Muscle aches,Chills,Joint pain,,,,,,
Strep Throat,Sore throat,Swollen lymph nodes,Abdominal pain,Body aches,Loss of appetite,,,,,,,,,,,
Roseola,Rash,Irritability,Fatigue,Rashes,Chills,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Stomach cramps,Headache,Fatigue,Muscle aches,Body aches,Rashes,Joint pain,,,,,,,
Roseola,High fever,Rash,Irritability,Swollen lymph nodes,Headache,Red eyes,Diarrhea,Vomiting,Loss of appetite,Body aches,Rashes,Feverish,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Headache,Red eyes,Abdominal pain,Rashes,Feverish,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Headache,Vomiting,Loss of appetite,Body aches,Chills,,,,,,
Norovirus Infection,Diarrhea,Headache,Fatigue,Abdominal pain,Loss of appetite,Chills,Body aches,General discomfort,Fever,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,Chills,,,,,,
Pertussis (Whooping Cough),Whooping cough,Sneezing,Nasal discharge,Runny nose,Vomiting after coughing,Fatigue,,,,,,,,,,
Measles,High fever,Red eyes,Cough,Small white spots inside the cheeks,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Headache,Dehydration,Loss of appetite,Body aches,Feverish,Rashes,General discomfort,Joint pain,,,,,,
Roseola,Rash,Irritability,Fatigue,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,Feverish,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Sore throat,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Chills,Feverish,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Nausea,Headache,Abdominal pain,Sweating,Rashes,General discomfort,Fever,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Sore throat,Mouth sores,Blisters,Fatigue,Cough,General discomfort,,,,,,,,
Roseola,Rash,Sore throat,Headache,Cough,Red eyes,Vomiting,Chills,,,,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Mouth sores,Red spots,Cough,General discomfort,Difficulty swallowing,,,,,,,,,,
Roseola,Diarrhea,Loss of appetite,Body aches,Chills,,,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Loss of appetite,Sore throat,Mouth sores,Red spots,Blisters,Cough,Mild fever,Difficulty swallowing,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Loss of appetite,Chills,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Body aches,Feverish,Rashes,General discomfort,Joint pain,,,,,,,,,
Roseola,Runny nose,Irritability,Swollen lymph nodes,Sore throat,Diarrhea,Abdominal pain,Body aches,Rashes,,,,,,,,
Roseola,High fever,Fatigue,Swollen lymph nodes,Sore throat,Headache,Rashes,Chills,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Headache,Loss of appetite,,,,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Swollen lymph nodes,Headache,Red eyes,Loss of appetite,Abdominal pain,,,,,,,
Roseola,Fatigue,Sore throat,Cough,Red eyes,Chills,,,,,,,,,,,
Roseola,High fever,Fatigue,Swollen lymph nodes,Red eyes,Vomiting,Abdominal pain,Chills,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Loss of appetite,Blisters,Cough,Sore muscles,General discomfort,Mild fever,Difficulty swallowing,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Bloody stools,Headache,Body aches,Rashes,Chills,Joint pain,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Swollen lymph nodes,Sore throat,Headache,Cough,Diarrhea,Loss of appetite,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Vomiting,Bloody stools,Muscle aches,Body aches,Rashes,Chills,,,,,,,,,
Norovirus Infection,Abdominal pain,Dehydration,Rashes,General discomfort,Fever,,,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Nausea,Headache,Sweating,General discomfort,Fever,Irritability,,,,,,,,
Roseola,High fever,Rash,Swollen lymph nodes,Sore throat,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Stomach cramps,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,Chills,Joint pain,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Headache,Abdominal pain,Sweating,Rashes,General discomfort,Irritability,,,,,,,
Roseola,Fatigue,Swollen lymph nodes,Sore throat,Red eyes,Diarrhea,Vomiting,Abdominal pain,Body aches,Feverish,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Sore throat,Headache,Diarrhea,Vomiting,Rashes,Chills,Feverish,,,,,
Roseola,High fever,Irritability,Fatigue,Headache,Cough,Red eyes,Body aches,Rashes,Feverish,,,,,,,
Roseola,High fever,Runny nose,Swollen lymph nodes,Chills,Feverish,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Headache,Fatigue,Body aches,General discomfort,Chills,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Cough,Red eyes,Vomiting,Loss of appetite,Rashes,Chills,Feverish,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Bloody stools,Fatigue,Muscle aches,Body aches,General discomfort,Chills,,,,,,,,
Roseola,Runny nose,Rash,Fatigue,Cough,Red eyes,Diarrhea,Vomiting,Abdominal pain,Rashes,Chills,Feverish,,,,,
Norovirus Infection,Low-grade fever,Muscle aches,Nausea,Abdominal pain,Sweating,General discomfort,Fever,,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Headache,Fatigue,Dehydration,Body aches,Fever,Irritability,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Loss of appetite,Irritability,Mouth sores,Sore muscles,Headache,Mild fever,,,,,,,,
Norovirus Infection,Muscle aches,Nausea,Fatigue,Loss of appetite,Chills,Body aches,Rashes,Fever,,,,,,,,
Roseola,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Loss of appetite,Rashes,Chills,Feverish,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Body aches,General discomfort,Fever,Irritability,,
Norovirus Infection,Vomiting,Stomach cramps,Headache,Loss of appetite,Dehydration,Sweating,Rashes,General discomfort,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Stomach cramps,Fatigue,Dehydration,Feverish,Rashes,Joint pain,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Fatigue,Dehydration,Body aches,Feverish,Rashes,General discomfort,Chills,,,,,,,
Roseola,Irritability,Fatigue,Swollen lymph nodes,Vomiting,Loss of appetite,Abdominal pain,Rashes,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Nausea,Fatigue,Loss of appetite,Chills,Body aches,Rashes,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Nausea,Loss of appetite,Chills,Sweating,Fever,Irritability,,,,,,,,
Pertussis (Whooping Cough),Whooping cough,Fever,"Cyanosis (blue lips, tongue, nailbeds)",Vomiting after coughing,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Stomach cramps,Fatigue,Dehydration,Feverish,Rashes,Joint pain,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Nausea,Body aches,Fever,Irritability,,,,,,,,
Roseola,Runny nose,Irritability,Sore throat,Red eyes,Diarrhea,Loss of appetite,Body aches,Feverish,,,,,,,,
Roseola,Irritability,Headache,Cough,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Headache,Fatigue,General discomfort,Chills,Joint pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Dehydration,Loss of appetite,Muscle aches,Feverish,Rashes,,,,
Roseola,Rash,Fatigue,Sore throat,Headache,Cough,Vomiting,Abdominal pain,Body aches,Feverish,,,,,,,
Roseola,Irritability,Sore throat,Cough,Diarrhea,Vomiting,Loss of appetite,Body aches,Rashes,Chills,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Dehydration,Chills,Sweating,Body aches,General discomfort,,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Headache,Loss of appetite,Muscle aches,Feverish,Joint pain,,,,,,,,,,
Roseola,High fever,Irritability,Fatigue,Sore throat,Red eyes,Vomiting,Abdominal pain,Chills,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Sore throat,Headache,Diarrhea,Vomiting,Rashes,Chills,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Bloody stools,Stomach cramps,Body aches,General discomfort,Joint pain,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Nausea,Fatigue,Abdominal pain,Dehydration,Rashes,General discomfort,Irritability,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Muscle aches,Nausea,Headache,Abdominal pain,Dehydration,Chills,Body aches,Fever,Irritability,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Headache,Fatigue,Body aches,Feverish,Joint pain,,,,,,,,,
Norovirus Infection,Diarrhea,Fatigue,Abdominal pain,Loss of appetite,Sweating,Body aches,Fever,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Stomach cramps,Dehydration,Body aches,Feverish,General discomfort,Chills,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Nausea,Fatigue,Dehydration,Chills,Rashes,General discomfort,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Bloody stools,Dehydration,Muscle aches,Body aches,Feverish,Chills,,,,,,,,,
Roseola,Runny nose,Rash,Sore throat,Red eyes,Loss of appetite,Body aches,Rashes,Chills,Feverish,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Nausea,Headache,Fatigue,Abdominal pain,General discomfort,Irritability,,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Mouth sores,Cough,Headache,,,,,,,,,,,,
Roseola,Sore throat,Vomiting,Abdominal pain,Body aches,,,,,,,,,,,,
Roseola,Runny nose,Rash,Fatigue,Sore throat,Headache,Cough,Vomiting,Abdominal pain,Body aches,Feverish,,,,,,
Roseola,High fever,Irritability,Sore throat,Headache,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Rashes,,,,,
Norovirus Infection,Low-grade fever,Muscle aches,Headache,Fatigue,Abdominal pain,Loss of appetite,Rashes,Irritability,,,,,,,,
Roseola,Rash,Fatigue,Sore throat,Headache,Cough,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Rashes,Feverish,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Rashes,Chills,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Headache,Feverish,General discomfort,Joint pain,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Stomach cramps,Headache,Body aches,General discomfort,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Stomach cramps,Headache,Fatigue,Dehydration,Feverish,General discomfort,Chills,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Fatigue,Loss of appetite,Dehydration,Chills,Body aches,Fever,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Fatigue,Dehydration,Loss of appetite,Body aches,,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Headache,Fatigue,Abdominal pain,Loss of appetite,Body aches,Rashes,General discomfort,Fever,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Stomach cramps,Headache,Fatigue,Muscle aches,Body aches,Rashes,General discomfort,,,,,,
Scarlet Fever,Sore throat,Red lines in body folds,Pale skin around lips,Nausea or vomiting,Abdominal pain,,,,,,,,,,,
Roseola,High fever,Rash,Irritability,Swollen lymph nodes,Sore throat,Headache,Cough,Diarrhea,Abdominal pain,Body aches,,,,,,
Roseola,Rash,Diarrhea,Vomiting,Loss of appetite,Rashes,Feverish,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Headache,Dehydration,Loss of appetite,Feverish,Rashes,Chills,Joint pain,,,,,,,,
Roseola,Runny nose,Rash,Irritability,Sore throat,Headache,Cough,Vomiting,Body aches,Chills,,,,,,,
Roseola,High fever,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Diarrhea,Vomiting,Body aches,Rashes,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Bloody stools,Stomach cramps,Fatigue,Dehydration,Loss of appetite,General discomfort,,,,,,,,
Roseola,High fever,Rash,Irritability,Sore throat,Red eyes,Abdominal pain,Body aches,Feverish,,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Irritability,Sore throat,Mouth sores,Cough,Headache,General discomfort,Difficulty swallowing,,,,,,,,
Norovirus Infection,Low-grade fever,Muscle aches,Fatigue,Dehydration,Chills,General discomfort,Fever,,,,,,,,,
